회사명,종목코드,업종,시가총액,상장주식수,현재가격,PER,예상PER,PBR,배당수익률,동일업종 PER,감점합계,가점합계,매출(3년 전),영업이익(3년 전),당기순이익(3년 전),ROE(3년 전),부채비율(3년 전),당좌비율(3년 전),자본유보율(3년 전),EPS(3년 전),PER(3년 전),시가배당률(3년 전),배당성향(3년 전),매출(2년 전),영업이익(2년 전),당기순이익(2년 전),ROE(2년 전),부채비율(2년 전),당좌비율(2년 전),자본유보율(2년 전),EPS(2년 전),PER(2년 전),시가배당률(2년 전),배당성향(2년 전),매출(1년 전),영업이익(1년 전),당기순이익(1년 전),ROE(1년 전),부채비율(1년 전),당좌비율(1년 전),자본유보율(1년 전),EPS(1년 전),PER(1년 전),시가배당률(1년 전),배당성향(1년 전),매출(올해 예상),영업이익(올해 예상),당기순이익(올해 예상),ROE(올해 예상),부채비율(올해 예상),당좌비율(올해 예상),자본유보율(올해 예상),EPS(올해 예상),PER(올해 예상),시가배당률(올해 예상),배당성향(올해 예상),매출(4분기 전),영업이익(4분기 전),당기순이익(4분기 전),ROE(4분기 전),부채비율(4분기 전),당좌비율(4분기 전),자본유보율(4분기 전),EPS(4분기 전),PER(4분기 전),시가배당률(4분기 전),배당성향(4분기 전),매출(3분기 전),영업이익(3분기 전),당기순이익(3분기 전),ROE(3분기 전),부채비율(3분기 전),당좌비율(3분기 전),자본유보율(3분기 전),EPS(3분기 전),PER(3분기 전),시가배당률(3분기 전),배당성향(3분기 전),매출(2분기 전),영업이익(2분기 전),당기순이익(2분기 전),ROE(2분기 전),부채비율(2분기 전),당좌비율(2분기 전),자본유보율(2분기 전),EPS(2분기 전),PER(2분기 전),시가배당률(2분기 전),배당성향(2분기 전),매출(1분기 전),영업이익(1분기 전),당기순이익(1분기 전),ROE(1분기 전),부채비율(1분기 전),당좌비율(1분기 전),자본유보율(1분기 전),EPS(1분기 전),PER(1분기 전),시가배당률(1분기 전),배당성향(1분기 전),매출(다음분기 예상),영업이익(다음분기 예상),당기순이익(다음분기 예상),ROE(다음분기 예상),부채비율(다음분기 예상),당좌비율(다음분기 예상),자본유보율(다음분기 예상),EPS(다음분기 예상),PER(다음분기 예상),시가배당률(다음분기 예상),배당성향(다음분기 예상)
와이엠씨,155650,디스플레이장비및부품,1202,19474358,6170,6.37,,1.05,4.05,24.94,0,121,1458,106,80,9.1,27.69,237.65,817.12,378,23.48,1.69,37.14,1791,140,118,11.74,23.17,254.43,894.12,525,13.51,2.12,26.76,2354,231,205,19.26,22.99,241.06,1059.82,969,5.83,4.42,23.53,2267,240,196,15.71,,,,926,6.66,,,479,45,38,14.13,26.55,222.57,900.82,174,10.84,,,434,37,33,14.37,19.64,262.15,931.92,155,8.7,,,559,62,56,16.8,32.53,188.14,982.53,253,6.94,,,882,86,79,19.26,22.99,241.06,1059.82,387,5.83,,,,,,,,,,,,,
기아,000270,자동차,342532,405363347,84500,6.33,4.14,0.86,4.14,6.34,10,131,591681,20665,14876,5.05,102.37,82.27,1350.39,3670,17,1.6,26.95,698624,50657,47603,14.69,91.48,95.75,1561.65,11744,7,3.65,25.27,865590,72331,54090,14.57,87.35,75.87,1778.98,13345,4.44,5.9,25.94,985629,106563,83034,19.29,,,,20399,4.14,,,183572,16065,10326,14.49,95.69,94.17,1560.2,2548,6.3,,,218760,22341,18810,15.08,91.74,97.22,1654.92,4640,5.92,,,231616,7682,4589,12.63,92.59,95.11,1683,1132,6.31,,,231642,26243,20365,14.57,87.35,75.87,1778.98,5025,4.44,,,232840,23229,19882,,,,,4527,18.4,,
세아제강,306200,철강,3991,2836300,140700,2.51,,0.48,4.26,6.92,0,119,11505,536,331,5.67,76.74,118.37,4114.97,11656,7.76,2.76,21.17,14974,1319,914,14.34,80.73,110.84,4709.69,32223,2.97,3.66,10.72,18018,2152,1593,21.12,76.73,129.17,5763.24,56163,2.31,4.63,10.55,18371,2613,1903,,,,,,,,,4488,599,460,18.85,81.68,105.62,4963.17,16201,2.86,,,4808,683,553,21.7,82.37,130.68,5349.09,19498,2.82,,,4469,496,358,22.05,74.11,101.38,5599.18,12616,2.6,,,4253,374,223,21.12,76.73,129.17,5763.24,7848,2.31,,,4704,722,543,,,,,,,,
신세계 I&C,035510,IT서비스,2563,17200000,14900,3.06,,0.54,3.36,19.72,0,117,4803,300,696,33.89,34.23,192.06,3055.19,4045,3.1,1.99,4.18,5261,355,319,13.28,28.91,225.11,3494.68,1855,10.7,1.26,10.3,5969,375,841,,32.7,217.31,4580.88,4877,2.82,3.64,7.84,6831,488,397,10.52,,,,2308,6.46,,,1282,68,60,,28.62,198.63,3607.21,349,,,,1448,120,100,,31.84,187.18,3722.49,578,,,,1530,75,574,,26.94,262.1,4401.67,3340,,,,1708,112,106,,32.7,217.31,4580.88,610,2.82,,,1501,101,,,,,,436,34.17,,
대창단조,015230,기계,2057,28572230,7200,5.6,,0.79,2.78,45.78,0,116,2645,192,148,7.2,25.37,319.45,1280.77,465,7.46,2.59,17.54,3544,295,282,13.3,31.39,169.28,1450.92,932,4.24,3.42,13.12,4215,499,401,16.29,39.53,193.11,1685.44,1285,6.3,2.47,14.11,5040,640,510,18.75,,,,1645,4.38,,,957,112,87,12.81,38.75,143.15,1483.28,279,4.91,,,1027,133,136,15.45,30.49,189.29,1568.42,413,4.74,,,1076,128,126,17.39,32.66,188.4,1650.57,410,3.63,,,1154,126,53,16.29,39.53,193.11,1685.44,183,6.3,,,,,,,,,,,,,
에치에프알,230240,통신장비,3635,13489026,26950,5.27,,2.05,,44.48,10,126,921,-259,-290,-35.73,93.01,132.98,983.39,-2294,-13.71,,,2064,218,186,22.3,134.09,136.26,1263.58,1440,23.05,,,3663,902,686,50.63,74.85,206.54,2522.21,5118,7.23,,,4422,1162,858,37.76,,,,6350,4.24,,,454,53,45,35.47,94.13,145.02,1333.38,349,17.17,,,968,267,205,50.36,91.72,149.13,1819.87,1513,6.23,,,1270,413,400,59.8,85.12,183.56,2410.93,2955,4.9,,,971,169,36,50.63,74.85,206.54,2522.21,261,7.23,,,553,76,40,,,,,415,64.92,,
파크시스템스,140860,전자장비와기기,10148,6950509,146000,36.19,23.23,8.44,0.27,15.37,22,137,712,150,100,20.43,96.71,221.38,1500.13,1493,63.29,0.19,12,853,176,91,12.69,48.56,308.53,2519.36,1355,112.91,0.16,18.9,1245,326,280,26.7,39.83,220.25,3387.55,4034,28.24,0.35,9.87,1595,467,437,30.84,,,,6285,23.23,,,178,6,3,22.05,33.33,386.35,2593.2,49,57.13,,,165,1,28,23.47,34.78,319.78,2680.77,399,38.75,,,370,135,172,29.19,34.87,324.45,3178.48,2480,26.96,,,532,184,77,26.7,39.83,220.25,3387.55,1102,28.24,,,304,65,63,,,,,1142,127.87,,
티와이홀딩스,363280,방송과엔터테인먼트,5500,50929268,10800,6.16,,0.26,1.39,-276.84,10,124,929,16,3540,,54.98,46.45,5571.8,26437,1.05,,,2952,112,1586,11.58,49.77,50.12,5648.48,3487,8.09,,,3536,224,949,6.31,47.63,53.79,6023.71,1754,5.96,1.44,6.03,3620,560,1240,7.4,,,,2204,4.9,,,518,-20,265,10.86,48.45,58.49,5749.81,520,8.27,,,1025,120,146,8.6,51.01,58.66,5798.04,255,7.64,,,1014,207,393,5.92,48.47,56.89,5935.26,698,7.23,,,981,-84,145,6.31,47.63,53.79,6023.71,281,5.96,,,,,,,,,,,,,
멀티캠퍼스,067280,교육서비스,2163,5926779,36500,7.15,,1.28,2.19,45.82,0,114,2600,137,99,8.76,60.8,148.93,6207.8,1681,20.41,1.46,29.75,3083,265,206,15.99,83.6,153.59,6795.52,3439,13.44,1.3,17.45,3575,410,305,19.76,69.26,195.53,7696.62,5106,6.91,2.27,15.67,4073,491,388,20.8,,,,6479,5.63,,,800,69,52,18.4,84.12,147.86,6940.01,864,11.13,,,877,102,75,18.46,70.88,168.89,7095.14,1234,9.25,,,955,118,88,18.73,72.41,176.18,7390.34,1476,7.19,,,943,122,91,19.76,69.26,195.53,7696.62,1531,6.91,,,,,,,,,,,,,
휴스틸,005010,철강,3529,56188075,6280,1.21,,0.39,5.57,6.92,20,134,3656,177,86,2.13,45.76,107.6,857.12,206,6.44,2.74,15.42,6165,632,380,7.3,51.97,98.95,932.9,897,2.95,5.49,16.51,10309,2892,2272,29.59,32.69,225.7,1150.81,5193,0.98,6.9,8.66,,,,,,,,,,,,1973,266,173,9.96,53.13,98.26,965.62,400,2.59,,,2408,719,529,16.51,49.04,138.3,1105.46,1228,1.84,,,2764,678,557,22.35,49.29,162.73,1252.38,1291,1.68,,,3164,1229,1013,29.59,32.69,225.7,1150.81,2222,0.98,,,,,,,,,,,,,
