회사명,종목코드,업종,시가총액,상장주식수,현재가격,PER,예상PER,PBR,배당수익률,동일업종 PER,감점합계,가점합계,매출(3년 전),영업이익(3년 전),당기순이익(3년 전),ROE(3년 전),부채비율(3년 전),당좌비율(3년 전),자본유보율(3년 전),EPS(3년 전),PER(3년 전),시가배당률(3년 전),배당성향(3년 전),매출(2년 전),영업이익(2년 전),당기순이익(2년 전),ROE(2년 전),부채비율(2년 전),당좌비율(2년 전),자본유보율(2년 전),EPS(2년 전),PER(2년 전),시가배당률(2년 전),배당성향(2년 전),매출(1년 전),영업이익(1년 전),당기순이익(1년 전),ROE(1년 전),부채비율(1년 전),당좌비율(1년 전),자본유보율(1년 전),EPS(1년 전),PER(1년 전),시가배당률(1년 전),배당성향(1년 전),매출(올해 예상),영업이익(올해 예상),당기순이익(올해 예상),ROE(올해 예상),부채비율(올해 예상),당좌비율(올해 예상),자본유보율(올해 예상),EPS(올해 예상),PER(올해 예상),시가배당률(올해 예상),배당성향(올해 예상),매출(4분기 전),영업이익(4분기 전),당기순이익(4분기 전),ROE(4분기 전),부채비율(4분기 전),당좌비율(4분기 전),자본유보율(4분기 전),EPS(4분기 전),PER(4분기 전),시가배당률(4분기 전),배당성향(4분기 전),매출(3분기 전),영업이익(3분기 전),당기순이익(3분기 전),ROE(3분기 전),부채비율(3분기 전),당좌비율(3분기 전),자본유보율(3분기 전),EPS(3분기 전),PER(3분기 전),시가배당률(3분기 전),배당성향(3분기 전),매출(2분기 전),영업이익(2분기 전),당기순이익(2분기 전),ROE(2분기 전),부채비율(2분기 전),당좌비율(2분기 전),자본유보율(2분기 전),EPS(2분기 전),PER(2분기 전),시가배당률(2분기 전),배당성향(2분기 전),매출(1분기 전),영업이익(1분기 전),당기순이익(1분기 전),ROE(1분기 전),부채비율(1분기 전),당좌비율(1분기 전),자본유보율(1분기 전),EPS(1분기 전),PER(1분기 전),시가배당률(1분기 전),배당성향(1분기 전),매출(다음분기 예상),영업이익(다음분기 예상),당기순이익(다음분기 예상),ROE(다음분기 예상),부채비율(다음분기 예상),당좌비율(다음분기 예상),자본유보율(다음분기 예상),EPS(다음분기 예상),PER(다음분기 예상),시가배당률(다음분기 예상),배당성향(다음분기 예상)
지엔씨에너지,119850,전기장비,2716,16448909,16510,7.06,,1.55,0.61,28.99,0,120,1485,61,260,26.32,45.9,110.3,1294.25,1665,2.15,1.4,2.9,1664,110,117,9.7,52.34,100.23,1419.57,692,6.15,1.65,9.14,2263,317,389,27.54,64.26,114.24,1864.07,2340,3.51,1.22,3.88,3104,452,390,,,,,2322,7.11,,,403,24,34,11.32,51.29,68.06,1448.16,208,7.63,,,370,30,169,22.49,74.08,94.18,1648.22,1018,4.46,,,740,132,127,30.26,71.23,95.75,1799.36,769,2.32,,,751,131,59,27.54,64.26,114.24,1864.07,344,3.51,1.22,26.36,,,,,,,,,,,
세방전지,004490,자동차부품,9618,14000000,68700,5.68,,0.62,1.6,8.29,0,113,14731,811,427,3.58,34.59,136.88,17611.29,3059,13.84,1.42,18.6,16848,1299,1184,9.29,37.16,167.06,19112.48,8348,6.97,1.2,7.87,20595,1797,1723,12.22,38.88,141.06,21354.71,12101,5.94,1.53,8.55,23808,2646,2498,14.03,,,,15925,4.31,,,4666,461,430,11.17,43.71,150.43,19604.91,3021,7.69,,,5196,590,566,12.96,48.6,141.42,20379.38,3944,8.54,,,5052,351,410,12.92,43,138.63,20931.37,2861,6.79,,,5681,395,317,12.22,38.88,141.06,21354.71,2275,5.94,1.53,45.49,5308,572,505,,,,,3414,20.12,,
산일전기,062040,전기장비,18298,30445200,60100,6.82,14.81,4.57,0.7,20.2,12,124,648,5,11,2.85,133.41,49.77,1251.02,268,,,37.31,1183,130,7,1.73,210.53,51.19,1237.03,164,,,60.96,2145,466,391,47,51.94,111.34,3868.77,8807,,,11.62,3174,1021,785,35.75,,,,3015,23.95,,,,,,,,,,,,,,,,,,,,,,,,,706,233,165,,102.55,106.45,793.41,792,,,,797,278,229,,16.61,308.49,2308.9,792,,,,918,266,234,,,,,769,93.94,,
HDC현대산업개발,294870,건설,12773,65907330,19380,8.2,4.74,0.4,3.61,26.29,12,123,32983,1164,502,1.75,152.81,111.79,782.54,764,13.09,6,78.5,41908,1953,1729,5.87,133.25,110.52,819.47,2626,5.56,4.79,25.95,42562,1846,1557,5.09,139.58,100.44,851.21,2363,7.64,3.88,28.85,43761,3307,2692,8.36,,,,4086,4.74,,,9554,416,305,5.54,147.04,117.97,815.78,462,7.05,,,10872,538,474,6.58,146.25,108.66,830.18,719,6.14,,,10886,475,327,5.5,142.01,104.37,840.02,496,8.87,,,11250,418,452,5.09,139.58,100.44,851.21,685,7.64,3.88,99.46,10044,589,469,,,,,727,26.64,,
삼아제약,009300,제약,1029,6370000,16160,4.52,,0.46,4.95,95.65,20,129,547,60,34,2,9.97,500.29,2578.48,532,36.34,1.29,44.99,817,183,119,6.76,12.5,470.43,2743.6,1870,8.9,2.4,20.5,972,235,214,11.22,15.38,456.53,3039.51,3355,4.89,4.57,21.42,,,,,,,,,,,,254,46,50,11.22,15.38,456.53,3039.51,778,4.89,4.57,92.4,300,115,94,12.24,18.25,371.35,3114.64,1470,4.37,,,250,76,63,12.22,15.8,387.9,3214.29,997,5.7,,,210,16,21,11.11,14.56,377.53,3247.31,330,5.93,,,,,,,,,,,,,
효성중공업,298040,전기장비,42054,9324548,451000,18.89,13.59,2.2,1.11,28.99,20,128,35101,1432,291,1.07,325.44,63.59,2061.98,1096,71.2,,,43006,2578,1319,11.29,288.94,57.82,2290.72,12438,13.02,1.54,20.07,48950,3625,2229,14.9,202.53,69.53,2671.54,23876,16.46,1.27,20.91,54704,5012,3256,17.28,,,,33183,13.59,,,9845,562,262,15.05,301.11,52.94,2286.73,2323,17.29,,,11938,627,282,12.66,303.56,57.21,2363.21,3861,23.95,,,11452,1114,724,13.96,284.71,56.09,2520.34,7927,20.72,,,15715,1322,961,14.9,202.53,69.53,2671.54,9766,16.46,1.27,51.13,11369,906,632,,,,,5780,78.02,,
대한전선,001440,전기장비,23325,186447300,12510,18.95,,1.57,,20.2,0,107,19977,395,289,7.78,266.43,73.65,54.63,267,55.51,,,24505,482,218,3.32,83.66,130.41,806.76,160,85.14,,,28440,798,719,7.83,97.06,113.34,861.8,510,17.94,,,33280,1150,800,7.8,,,,441,29.69,,,7556,207,375,7.83,97.06,113.34,861.8,269,17.94,,,7885,288,211,7.13,79.21,157.56,799.43,141,17.7,,,8643,374,258,8.02,74.16,151.71,812.8,133,26.44,,,8044,272,257,8.95,56.44,181.9,736.33,129,18.23,,,8710,210,,,,,,32,406.77,,
한화손해보험,000370,손해보험,4786,116738915,4100,1.88,,0.22,4.88,5.14,25,131,79926,1343,949,6.13,1289.78,,150.15,1045,3.55,,,58929,2048,1873,8.22,431.49,,317.7,1753,2.66,,,60729,3065,2128,6.68,441.44,,332.51,1598,2.53,4.94,14.81,,5112,3814,,,,,,,,,14509,131,-68,7.76,441.44,,332.51,87,2.53,4.94,271.43,16098,1559,1085,8.78,483.83,,298.49,743,2.52,,,16394,1480,1161,9.54,526.23,,281.59,790,2.63,,,15703,1207,850,10.76,561.93,,283.23,563,2.3,,,,486,351,,,,,,,,
아이패밀리에스씨,114840,화장품,3776,17319900,21800,12.12,10.69,4.2,0.54,19.36,1,106,716,56,36,12.88,27.55,339.76,1705.51,265,16.72,0.37,7.35,853,95,76,16.66,44.08,273.02,1006.66,453,13.74,0.51,7.01,1487,240,200,,30.2,379.3,1442.28,1166,11.28,0.6,6.8,2074,372,312,36.91,,,,1817,14.83,,,420,76,70,,30.2,379.3,1442.28,407,,0.6,19.42,574,118,97,,53.25,208.05,767.89,565,,,,490,70,66,,56.35,93.01,844.83,385,20.97,,,501,91,76,40.82,39.45,61.51,933.32,443,14.15,,,508,93,74,,,,,429,62.79,,
트루엔,417790,전자장비와기기,1079,10999650,9810,7.87,,1.08,2.34,25.05,4,109,360,98,85,22.03,12.8,390.52,4942.89,1011,,,,388,90,76,16.23,7.8,496.46,5893.32,906,,,,472,114,110,15.6,6.72,581.94,8146.09,1087,10.87,1.69,19.63,541,157,147,15.61,,,,1336,7.42,,,143,34,31,,6.72,581.94,8146.09,286,,1.69,68.45,92,23,23,,6.76,489.49,8157.97,208,11.17,,,151,39,36,14.04,7.46,623.7,8452.75,330,9.11,,,135,53,46,14.92,5.73,944.5,8873.66,421,7.45,,,163,43,42,,,,,382,25.95,,
